Location	Total Health Spending
United States	2089862
Alabama	29524
Alaska	6341
Arizona	35797
Arkansas	17806
California	230090
Colorado	30060
Connecticut	30416
Delaware	7497
District of Columbia	6209
Florida	132463
Georgia	53655
Hawaii	8833
Idaho	8739
Illinois	87112
Indiana	42780
Iowa	20822
Kansas	19107
Kentucky	28443
Louisiana	30507
Maine	11213
Maryland	42616
Massachusetts	61162
Michigan	65888
Minnesota	38994
Mississippi	19384
Missouri	41681
Montana	6468
Nebraska	12649
Nevada	15133
New Hampshire	10365
New Jersey	65924
New Mexico	13350
New York	162845
North Carolina	60297
North Dakota	5005
Ohio	81598
Oklahoma	24074
Oregon	25155
Pennsylvania	97414
Rhode Island	8786
South Carolina	28798
South Dakota	5721
Tennessee	40331
Texas	146735
Utah	13990
Vermont	4745
Virginia	49427
Washington	45246
West Virginia	13964
Wisconsin	40871
Wyoming	3833
