Measure Names,Race,Sex,Year,Average Life Expectancy,Mortality
Life Expectancy,All Races,Both Sexes,1900,47.3,
Life Expectancy,All Races,Both Sexes,1901,49.1,
Life Expectancy,All Races,Both Sexes,1902,51.5,
Life Expectancy,All Races,Both Sexes,1903,50.5,
Life Expectancy,All Races,Both Sexes,1904,47.6,
Life Expectancy,All Races,Both Sexes,1905,48.7,
Life Expectancy,All Races,Both Sexes,1906,48.7,
Life Expectancy,All Races,Both Sexes,1907,47.6,
Life Expectancy,All Races,Both Sexes,1908,51.1,
Life Expectancy,All Races,Both Sexes,1909,52.1,
Life Expectancy,All Races,Both Sexes,1910,50.0,
Life Expectancy,All Races,Both Sexes,1911,52.6,
Life Expectancy,All Races,Both Sexes,1912,53.5,
Life Expectancy,All Races,Both Sexes,1913,52.5,
Life Expectancy,All Races,Both Sexes,1914,54.2,
Life Expectancy,All Races,Both Sexes,1915,54.5,
Life Expectancy,All Races,Both Sexes,1916,51.7,
Life Expectancy,All Races,Both Sexes,1917,50.9,
Life Expectancy,All Races,Both Sexes,1918,39.1,
Life Expectancy,All Races,Both Sexes,1919,54.7,
Life Expectancy,All Races,Both Sexes,1920,54.1,
Life Expectancy,All Races,Both Sexes,1921,60.8,
Life Expectancy,All Races,Both Sexes,1922,59.6,
Life Expectancy,All Races,Both Sexes,1923,57.2,
Life Expectancy,All Races,Both Sexes,1924,59.7,
Life Expectancy,All Races,Both Sexes,1925,59.0,
Life Expectancy,All Races,Both Sexes,1926,56.7,
Life Expectancy,All Races,Both Sexes,1927,60.4,
Life Expectancy,All Races,Both Sexes,1928,56.8,
Life Expectancy,All Races,Both Sexes,1929,57.1,
Life Expectancy,All Races,Both Sexes,1930,59.7,
Life Expectancy,All Races,Both Sexes,1931,61.1,
Life Expectancy,All Races,Both Sexes,1932,62.1,
Life Expectancy,All Races,Both Sexes,1933,63.3,
Life Expectancy,All Races,Both Sexes,1934,61.1,
Life Expectancy,All Races,Both Sexes,1935,61.7,
Life Expectancy,All Races,Both Sexes,1936,58.5,
Life Expectancy,All Races,Both Sexes,1937,60.0,
Life Expectancy,All Races,Both Sexes,1938,63.5,
Life Expectancy,All Races,Both Sexes,1939,63.7,
Life Expectancy,All Races,Both Sexes,1940,62.9,
Life Expectancy,All Races,Both Sexes,1941,64.8,
Life Expectancy,All Races,Both Sexes,1942,66.2,
Life Expectancy,All Races,Both Sexes,1943,63.3,
Life Expectancy,All Races,Both Sexes,1944,65.2,
Life Expectancy,All Races,Both Sexes,1945,65.9,
Life Expectancy,All Races,Both Sexes,1946,66.7,
Life Expectancy,All Races,Both Sexes,1947,66.8,
Life Expectancy,All Races,Both Sexes,1948,67.2,
Life Expectancy,All Races,Both Sexes,1949,68.0,
Life Expectancy,All Races,Both Sexes,1950,68.2,
Life Expectancy,All Races,Both Sexes,1951,68.4,
Life Expectancy,All Races,Both Sexes,1952,68.6,
Life Expectancy,All Races,Both Sexes,1953,68.8,
Life Expectancy,All Races,Both Sexes,1954,69.6,
Life Expectancy,All Races,Both Sexes,1955,69.6,
Life Expectancy,All Races,Both Sexes,1956,69.7,
Life Expectancy,All Races,Both Sexes,1957,69.5,
Life Expectancy,All Races,Both Sexes,1958,69.6,
Life Expectancy,All Races,Both Sexes,1959,69.9,
Life Expectancy,All Races,Both Sexes,1960,69.7,
Life Expectancy,All Races,Both Sexes,1961,70.2,
Life Expectancy,All Races,Both Sexes,1962,70.1,
Life Expectancy,All Races,Both Sexes,1963,69.9,
Life Expectancy,All Races,Both Sexes,1964,70.2,
Life Expectancy,All Races,Both Sexes,1965,70.2,
Life Expectancy,All Races,Both Sexes,1966,70.2,
Life Expectancy,All Races,Both Sexes,1967,70.5,
Life Expectancy,All Races,Both Sexes,1968,70.2,
Life Expectancy,All Races,Both Sexes,1969,70.5,
Life Expectancy,All Races,Both Sexes,1970,70.8,
Life Expectancy,All Races,Both Sexes,1971,71.1,
Life Expectancy,All Races,Both Sexes,1972,71.2,
Life Expectancy,All Races,Both Sexes,1973,71.4,
Life Expectancy,All Races,Both Sexes,1974,72.0,
Life Expectancy,All Races,Both Sexes,1975,72.6,
Life Expectancy,All Races,Both Sexes,1976,72.9,
Life Expectancy,All Races,Both Sexes,1977,73.3,
Life Expectancy,All Races,Both Sexes,1978,73.5,
Life Expectancy,All Races,Both Sexes,1979,73.9,
Life Expectancy,All Races,Both Sexes,1980,73.7,
Life Expectancy,All Races,Both Sexes,1981,74.1,
Life Expectancy,All Races,Both Sexes,1982,74.5,
Life Expectancy,All Races,Both Sexes,1983,74.6,
Life Expectancy,All Races,Both Sexes,1984,74.7,
Life Expectancy,All Races,Both Sexes,1985,74.7,
Life Expectancy,All Races,Both Sexes,1986,74.7,
Life Expectancy,All Races,Both Sexes,1987,74.9,
Life Expectancy,All Races,Both Sexes,1988,74.9,
Life Expectancy,All Races,Both Sexes,1989,75.1,
Life Expectancy,All Races,Both Sexes,1990,75.4,
Life Expectancy,All Races,Both Sexes,1991,75.5,
Life Expectancy,All Races,Both Sexes,1992,75.8,
Life Expectancy,All Races,Both Sexes,1993,75.5,
Life Expectancy,All Races,Both Sexes,1994,75.7,
Life Expectancy,All Races,Both Sexes,1995,75.8,
Life Expectancy,All Races,Both Sexes,1996,76.1,
Life Expectancy,All Races,Both Sexes,1997,76.5,
Life Expectancy,All Races,Both Sexes,1998,76.7,
Life Expectancy,All Races,Both Sexes,1999,76.7,
Life Expectancy,All Races,Both Sexes,2000,76.8,
Life Expectancy,All Races,Both Sexes,2001,77.0,
Life Expectancy,All Races,Both Sexes,2002,77.0,
Life Expectancy,All Races,Both Sexes,2003,77.6,
