Location	Total Medicare Spending by Residence
United States	117280.624
Alabama	2039.442
Alaska	90.363
Arizona	1791.601
Arkansas	1242.48
California	13119.24
Colorado	1124.831
Connecticut	1710.824
Delaware	348.944
District of Columbia	340.173
Florida	8913.855
Georgia	2667.016
Hawaii	364.324
Idaho	325.826
Illinois	5290.117
Indiana	2277.539
Iowa	1233.983
Kansas	1117.117
Kentucky	1709.48
Louisiana	2153.539
Maine	498.052
Maryland	2204.947
Massachusetts	3485.346
Michigan	4397.965
Minnesota	1664.057
Mississippi	1193.732
Missouri	2523.856
Montana	319.666
Nebraska	603.882
Nevada	502.562
New Hampshire	387.081
New Jersey	3973.729
New Mexico	503.336
New York	9542.919
North Carolina	2596.799
North Dakota	253.681
Ohio	5188.599
Oklahoma	1408.407
Oregon	1173.534
Pennsylvania	8601.538
Rhode Island	528.066
South Carolina	1219.46
South Dakota	281.171
Tennessee	2399.49
Texas	6130.283
Utah	430.357
Vermont	200.813
Virginia	2226.736
Washington	1918.123
West Virginia	944.004
Wisconsin	1971.189
Wyoming	146.55
