"Year","Month","Label","Business_Services","Construction","Education_And_Health","Finance","Goods_Producing","Information","Leasure_And_Hospitality","Manufacturing","Mining_Logging","Oil_Gas_Extraction","Other","Retail","Temporary_Help","Transportation"
1940,1,"1940 Jan",2029,1121,1433,1409,11973,1183,1936,9927,925,NA,564,3232.7,NA,NA
1940,2,"1940 Feb",2037,1178,1440,1415,12023,1186,1945,9916,929,NA,566,3249.9,NA,NA
1940,3,"1940 Mar",2042,1214,1447,1416,12024,1182,1993,9884,926,NA,569,3336.9,NA,NA
1940,4,"1940 Apr",2045,1276,1455,1419,12013,1174,1965,9817,920,NA,572,3276.9,NA,NA
1940,5,"1940 May",2051,1298,1460,1421,12038,1178,1979,9810,930,NA,574,3302.8,NA,NA
1940,6,"1940 Jun",2056,1290,1465,1423,12040,1178,1995,9832,918,NA,576,3324.3,NA,NA
1940,7,"1940 Jul",2059,1272,1469,1423,11958,1178,1988,9766,920,NA,578,3318,NA,NA
1940,8,"1940 Aug",2077,1286,1478,1427,12257,1191,2000,10048,923,NA,581,3330.7,NA,NA
1940,9,"1940 Sep",2095,1379,1487,1428,12565,1205,2023,10258,928,NA,585,3365.4,NA,NA
1940,10,"1940 Oct",2111,1506,1496,1432,12909,1222,2023,10471,932,NA,588,3369.3,NA,NA
1940,11,"1940 Nov",2126,1627,1501,1436,13206,1231,2025,10643,936,NA,590,3379,NA,NA
1940,12,"1940 Dec",2144,1777,1507,1436,13563,1241,2056,10847,939,NA,593,3410.3,NA,NA
1941,1,"1941 Jan",2160,1833,1516,1438,13771,1253,2045,10993,945,NA,596,3407.8,NA,NA
1941,2,"1941 Feb",2180,1820,1526,1439,13982,1267,2061,11211,951,NA,600,3435.8,NA,NA
1941,3,"1941 Mar",2198,1739,1536,1444,14109,1284,2074,11409,961,NA,604,3458,NA,NA
1941,4,"1941 Apr",2222,1772,1551,1458,14151,1305,2138,11698,681,NA,609,3568.1,NA,NA
1941,5,"1941 May",2248,1784,1558,1460,14720,1327,2110,11957,979,NA,613,3519,NA,NA
1941,6,"1941 Jun",2267,1791,1563,1468,14985,1345,2133,12204,990,NA,615,3559.4,NA,NA
1941,7,"1941 Jul",2290,1881,1575,1475,15264,1363,2151,12382,1001,NA,619,3592.7,NA,NA
1941,8,"1941 Aug",2306,1918,1583,1478,15463,1376,2172,12532,1013,NA,623,3623.3,NA,NA
1941,9,"1941 Sep",2315,1939,1587,1482,15642,1386,2175,12683,1020,NA,624,3631.8,NA,NA
1941,10,"1941 Oct",2324,1935,1594,1482,15727,1396,2165,12770,1022,NA,627,3614.3,NA,NA
1941,11,"1941 Nov",2333,1915,1601,1481,15746,1399,2165,12810,1021,NA,629,3614.5,NA,NA
1941,12,"1941 Dec",2340,1903,1606,1481,15803,1401,2165,12876,1024,NA,632,3605.8,NA,NA
1942,1,"1942 Jan",2351,1914,1611,1485,15908,1408,2161,12965,1029,NA,634,3591.8,NA,NA
1942,2,"1942 Feb",2355,1900,1608,1480,16048,1415,2154,13127,1021,NA,632,3578.7,NA,NA
1942,3,"1942 Mar",2366,2042,1615,1478,16367,1426,2149,13311,1014,NA,635,3566.3,NA,NA
1942,4,"1942 Apr",2383,2170,1623,1468,16701,1440,2141,13509,1022,NA,637,3539.7,NA,NA
1942,5,"1942 May",2393,2271,1626,1460,17000,1450,2137,13704,1025,NA,639,3535.1,NA,NA
1942,6,"1942 Jun",2401,2380,1632,1453,17241,1457,2123,13842,1019,NA,641,3502.4,NA,NA
1942,7,"1942 Jul",2417,2494,1640,1446,17584,1471,2118,14072,1018,NA,644,3490.1,NA,NA
1942,8,"1942 Aug",2431,2478,1644,1441,17828,1486,2124,14339,1011,NA,646,3493.8,NA,NA
1942,9,"1942 Sep",2439,2433,1647,1440,18017,1500,2118,14582,1002,NA,647,3492.8,NA,NA
1942,10,"1942 Oct",2452,2352,1649,1439,18118,1514,2132,14772,994,NA,647,3508,NA,NA
1942,11,"1942 Nov",2458,2260,1645,1434,18220,1527,2126,14971,989,NA,646,3498,NA,NA
1942,12,"1942 Dec",2471,2136,1645,1432,18408,1547,2118,15288,984,NA,646,3479,NA,NA
1943,1,"1943 Jan",2487,2064,1649,1427,18570,1562,2115,15532,974,NA,648,3472.6,NA,NA
1943,2,"1943 Feb",2500,2022,1653,1427,18685,1570,2113,15685,978,NA,649,3465.5,NA,NA
1943,3,"1943 Mar",2504,1954,1655,1426,18783,1582,2112,15856,973,NA,650,3465,NA,NA
1943,4,"1943 Apr",2508,1854,1655,1432,18783,1590,2139,15961,968,NA,650,3503.9,NA,NA
1943,5,"1943 May",2510,1737,1656,1435,18739,1594,2118,16044,958,NA,651,3474.1,NA,NA
1943,6,"1943 Jun",2518,1639,1658,1446,18800,1606,2128,16204,957,NA,651,3494.5,NA,NA
1943,7,"1943 Jul",2521,1516,1658,1435,18776,1614,2125,16306,954,NA,651,3489.4,NA,NA
1943,8,"1943 Aug",2521,1433,1658,1428,18749,1618,2122,16369,947,NA,651,3480.8,NA,NA
1943,9,"1943 Sep",2519,1357,1663,1430,18673,1619,2115,16366,950,NA,653,3478.1,NA,NA
1943,10,"1943 Oct",2535,1334,1666,1427,18796,1631,2133,16512,950,NA,654,3491.8,NA,NA
1943,11,"1943 Nov",2547,1320,1671,1429,18861,1640,2142,16598,943,NA,656,3507.7,NA,NA
1943,12,"1943 Dec",2545,1316,1674,1431,18792,1640,2112,16526,950,NA,657,3448.3,NA,NA
1944,1,"1944 Jan",2542,1323,1661,1426,18709,1641,2139,16439,947,NA,654,3506.4,NA,NA
1944,2,"1944 Feb",2551,1300,1668,1425,18578,1645,2142,16330,948,NA,654,3506.5,NA,NA
1944,3,"1944 Mar",2536,1237,1670,1423,18349,1643,2138,16170,942,NA,655,3507.4,NA,NA
1944,4,"1944 Apr",2529,1172,1667,1419,18124,1640,2138,16012,940,NA,653,3496.4,NA,NA
1944,5,"1944 May",2525,1149,1666,1416,18031,1639,2135,15944,938,NA,653,3504.5,NA,NA
1944,6,"1944 Jun",2525,1123,1671,1423,17947,1637,2136,15890,934,NA,655,3507.6,NA,NA
1944,7,"1944 Jul",2519,1103,1668,1409,17860,1633,2145,15832,925,NA,653,3527.4,NA,NA
1944,8,"1944 Aug",2516,1081,1669,1403,17784,1631,2149,15781,922,NA,653,3532.4,NA,NA
1944,9,"1944 Sep",2504,1036,1667,1407,17612,1626,2139,15662,914,NA,653,3528.9,NA,NA
1944,10,"1944 Oct",2509,1085,1665,1406,17621,1622,2154,15630,906,NA,652,3540,NA,NA
1944,11,"1944 Nov",2513,1095,1667,1406,17564,1625,2159,15568,901,NA,653,3544,NA,NA
1944,12,"1944 Dec",2514,1113,1668,1405,17666,1634,2135,15659,894,NA,653,3495.7,NA,NA
1945,1,"1945 Jan",2518,1143,1659,1407,17705,1631,2170,15669,893,NA,652,3572,NA,NA
1945,2,"1945 Feb",2529,1191,1667,1405,17664,1634,2179,15581,892,NA,653,3581.4,NA,NA
1945,3,"1945 Mar",2514,1179,1666,1404,17542,1636,2188,15473,890,NA,652,3611.9,NA,NA
1945,4,"1945 Apr",2507,1148,1666,1403,17338,1628,2147,15335,855,NA,652,3520.3,NA,NA
1945,5,"1945 May",2501,1138,1666,1407,17159,1620,2166,15201,820,NA,652,3574.7,NA,NA
1945,6,"1945 Jun",2501,1133,1681,1416,16959,1609,2171,14948,878,NA,658,3580.8,NA,NA
1945,7,"1945 Jul",2500,1144,1692,1428,16611,1596,2182,14599,868,NA,662,3600,NA,NA
1945,8,"1945 Aug",2495,1159,1706,1437,16223,1576,2194,14201,863,NA,667,3612.9,NA,NA
1945,9,"1945 Sep",2429,1143,1711,1449,14486,1498,2215,12486,857,NA,668,3664.3,NA,NA
1945,10,"1945 Oct",2453,1231,1733,1463,14513,1499,2242,12487,795,NA,677,3695.2,NA,NA
1945,11,"1945 Nov",2487,1291,1753,1483,14699,1517,2274,12537,871,NA,684,3742,NA,NA
1945,12,"1945 Dec",2502,1336,1773,1505,14744,1529,2264,12528,880,NA,692,3721.9,NA,NA
1946,1,"1946 Jan",2551,1421,1797,1540,15031,1543,2350,12719,891,NA,705,3879.6,NA,NA
1946,2,"1946 Feb",2545,1501,1819,1560,14308,1512,2392,11922,885,NA,710,3945,NA,NA
1946,3,"1946 Mar",2581,1581,1839,1582,15017,1553,2413,12545,891,NA,718,3994,NA,NA
1946,4,"1946 Apr",2620,1639,1857,1599,15439,1582,2458,13200,600,NA,726,4064.1,NA,NA
1946,5,"1946 May",2637,1679,1869,1615,15875,1575,2461,13389,807,NA,731,4079.3,NA,NA
1946,6,"1946 Jun",2656,1697,1880,1625,16206,1583,2477,13598,911,NA,735,4109.7,NA,NA
1946,7,"1946 Jul",2677,1761,1886,1630,16461,1600,2496,13771,929,NA,738,4144.3,NA,NA
1946,8,"1946 Aug",2704,1808,1904,1638,16728,1618,2535,13981,939,NA,745,4201.6,NA,NA
1946,9,"1946 Sep",2728,1836,1932,1646,16912,1625,2536,14135,941,NA,756,4208.8,NA,NA
1946,10,"1946 Oct",2744,1875,1933,1658,17002,1636,2545,14182,945,NA,756,4222.4,NA,NA
